date, serial_no, scale, residual
2024_07_25_10_37_24, 2401028865, 98928.97564284567, 2.7311658891748946e-10
2024_07_25_10_39_27, 2401028865, 98956.27450420774, 1.631004641002096e-10
2024_07_25_10_41_35, 2401028865, 98951.47878980849, 3.051561132775801e-10
2024_07_25_10_42_23, 2401028865, 98930.7078265677, 3.243424164639961e-10
2024_07_25_10_43_45, 2401028865, 98938.48777790843, 3.070178377501065e-10
2024_07_25_10_48_16, 2401028865, 98950.05209730745, 1.3759633223533883e-10
2024_07_25_11_00_11, 2401028868, 98916.30306809262, 1.0668572012933838e-10
2024_07_25_11_01_04, 2401028868, 98922.78435932401, 1.0143785005292387e-10
2024_07_25_11_01_30, 2401028868, 98926.6427716161, 1.0855494609233312e-10
2024_07_25_11_01_54, 2401028868, 98931.0337590999, 9.903125270921013e-11
2024_07_25_11_02_31, 2401028868, 98934.52568166518, 1.0710231836722202e-10
2024_08_06_15_43_08, 2401028865, 100535.94204705187, 1.048327490570906e-07
2024_08_06_16_01_57, 2401028865, 107116.3325146623, 2.0594776975727724e-06
2024_08_06_16_05_11, 2401028865, 98934.36504436123, 2.9304408924258196e-10
2024_08_06_16_22_02, 2401028865, 147504.5448055521, 3.614870754162849e-05
2024_08_06_16_23_25, 2401028865, 124107.80760122176, 1.3615214227292634e-05
2024_08_06_16_24_07, 2401028865, 98950.7171659121, 8.089987108772424e-12
2024_08_06_16_45_43, 2401028865, 98911.2373219665, 1.1479451371707735e-10
2024_08_06_16_52_36, 2401028865, 98918.33069420126, 6.311045284773532e-11
2024_08_06_16_53_19, 2401028865, 98913.03176608133, 1.2818955842294434e-10
2024_08_06_16_55_28, 2401028865, 98891.84278697807, 7.459865855626638e-11
2024_08_06_16_57_16, 2401028865, 98888.45954365167, 9.842578170224156e-11
2024_08_06_16_58_21, 2401028865, 98891.28980661443, 9.987176543073243e-11
